Periodo,Problema,Título,Data,Link
27/09/2021,preço,"Com deflação de 3,93%, preço da cesta básica chega a R$ 872,90 em supermercados de Presidente Prudente",10/12/2021 14:14,https://g1.globo.com/sp/presidente-prudente-regiao/noticia/2021/12/10/com-deflacao-de-393percent-preco-da-cesta-basica-chega-a-r-87290-em-supermercados-de-presidente-prudente.ghtml
27/09/2021,covid-19,Rio Branco tem vacinação contra a Covid-19 em unidades de saúde e supermercados neste sábado (2),01/10/2021 21:12,https://g1.globo.com/ac/acre/noticia/2021/10/01/rio-branco-tem-vacinacao-contra-a-covid-19-em-unidades-de-saude-e-supermercados-neste-sabado-2.ghtml
27/09/2021,alimento,Quatro homens são presos suspeitos de desviar alimentos estragados de supermercados de BH para revender,01/10/2021 12:37,https://g1.globo.com/mg/minas-gerais/noticia/2021/10/01/quatro-homens-sao-presos-suspeitos-de-desviar-alimentos-estragados-de-supermercados-de-bh-para-revender.ghtml
27/09/2021,covid-19,"Saúde espera vacinar mais de 3,4 mil pessoas contra Covid-19 durante ação em supermercados de Rio Branco",02/10/2021 12:39,https://g1.globo.com/ac/acre/noticia/2021/10/02/saude-espera-vacinar-mais-de-34-mil-pessoas-contra-covid-19-durante-acao-em-supermercados-de-rio-branco.ghtml
27/09/2021,preço,"Cenoura, pimentão e cebola são os itens com maior variação de preço nos supermercados de Fortaleza, diz Procon",29/09/2021 17:46,https://g1.globo.com/ce/ceara/noticia/2021/09/29/cenoura-pimentao-e-cebola-sao-os-itens-com-maior-variacao-de-preco-nos-supermercados-de-fortaleza-diz-procon.ghtml
27/09/2021,alimento,Telespectadora flagra alimentos sendo jogados fora em caminhão de lixo em Belo Horizonte,08/10/2021 08:58,https://g1.globo.com/mg/minas-gerais/noticia/2021/10/08/telespectadora-flagra-alimentos-sendo-jogados-fora-em-caminhao-de-lixo-em-belo-horizonte.ghtml
27/09/2021,busca,"Consumidores buscam carnes e itens da cesta básica na Black Friday dos supermercados de Ribeirão Preto, SP",20/11/2021 14:01,https://g1.globo.com/sp/ribeirao-preto-franca/noticia/2021/11/20/consumidores-buscam-carnes-e-itens-da-cesta-basica-na-black-friday-dos-supermercados-de-ribeirao-preto-sp.ghtml
27/12/2021,deslizamento,"Deslizamento de terra atinge supermercado em Aperibé, RJ; VÍDEO",09/02/2022 12:55,https://g1.globo.com/rj/norte-fluminense/noticia/2022/02/09/deslizamento-de-terra-atinge-supermercado-em-aperibe-rj-video.ghtml
27/12/2021,produto,VÍDEO: Bandido invade supermercado pelo teto e rouba produtos em Caruaru,18/02/2022 11:14,https://g1.globo.com/pe/caruaru-regiao/noticia/2022/02/18/video-bandido-invade-supermercado-pelo-teto-e-rouba-produtos-em-caruaru.ghtml
27/12/2021,defesa civil,"Supermercado que pegou fogo em Florianópolis tem estrutura totalmente comprometida, diz Defesa Civil",27/12/2021 18:07,https://g1.globo.com/sc/santa-catarina/noticia/2021/12/27/estrutura-de-supermercado-que-pegou-fogo-em-florianopolis-foi-totalmente-comprometida-diz-defesa-civil.ghtml
27/12/2021,termina,Discussão em caixa de supermercado de Mococa termina com tiro acidental e agressões,27/02/2022 12:40,https://g1.globo.com/sp/sao-carlos-regiao/noticia/2022/02/27/discussao-em-caixa-de-supermercado-de-mococa-termina-com-tiro-acidental-e-agressoes.ghtml
27/12/2021,produto,Guarda Municipal recupera R$ 4 mil e produtos furtados de supermercado em Capivari,10/03/2022 15:31,https://g1.globo.com/sp/piracicaba-regiao/noticia/2022/03/10/guarda-municipal-recupera-r-4-mil-e-produtos-furtados-de-supermercado-em-capivari.ghtml
27/12/2021,alimento,"Moradores recolhem alimentos em escombros de supermercado destruído por incêndio, em João Pessoa",07/01/2022 10:57,https://g1.globo.com/pb/paraiba/noticia/2022/01/07/moradores-recolhem-alimentos-em-escombros-de-supermercado-destruido-por-incendio-em-joao-pessoa.ghtml
